School ID,School Short Name,School Name,Street Address_x,City_x,State_x,ZIP,Website_x,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,Growth Overall Level,Growth EXPLORE,Growth PLAN,Growth ACT,Growth All Grades,Student Performance Level,Over Time EXPLORE 2010,Over Time PLAN 2011,Over Time ACT 2012,Average Score EXPLORE 2012,Average Score PLAN 2012,Average Score ACT 2012,5-Year Cohort Graduation Rate 2011 - Percent,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2011 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2011 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2011 - Percent,College Eligibility 2012 - Percent,College Enrollment 2011 - Percent,College Enrollment 2012 - Percent,College Retention 2009 - Percent,College Retention 2010 - Percent,Overall Foundation,Involved Families,Supportive Environment_x,Ambitious Instruction_x,Effective Leaders_x,Collaborative Teachers_x,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award_x,Blue Ribbon Award Year,X Coordinate_x,Y Coordinate_x,Longitude_x,Latitude_x,Location_x,Name of School,Street Address_y,City_y,State_y,ZIP Code,Phone Number,Website_y,Blue Ribbon Award_y,CPS Performance Policy Level,CPS Performance Policy Status,Probation Length,"My Voice, My School Overall Rating",Student Response Rate,Teacher Response Rate,Involved Family,Supportive Environment_y,Ambitious Instruction_y,Effective Leaders_y,Collaborative Teachers_y,Safe,School Community,Parent-Teacher Partnership,Quality of Facilities,Healthy Schools Certification,Creative Schools Certification,NWEA Reading Growth Percentile All Grades,NWEA Reading Growth Percentile Grade 3,NWEA Reading Growth Percentile Grade 4,NWEA Reading Growth Percentile Grade 5,NWEA Reading Growth Percentile Grade 6,NWEA Reading Growth Percentile Grade 7,NWEA Reading Growth Percentile Grade 8,NWEA Math Growth All Grades,NWEA Math Growth Grade 3,NWEA Math Growth Grade 4,NWEA Math Growth Grade 5,NWEA Math Growth Grade 6,NWEA Math Growth Grade 7,NWEA Math Growth Grade 8,NWEA Reading Attainment Percentile All Grades,NWEA Reading Attainment Percentile Grade 2,NWEA Reading Attainment Percentile Grade 3,NWEA Reading Attainment Percentile Grade 4,NWEA Reading Attainment Percentile Grade 5,NWEA Reading Attainment Percentile Grade 6,NWEA Reading Attainment Percentile Grade 7,NWEA Reading Attainment Percentile Grade 8,NWEA Math Attainment Percentile All Grades,NWEA Math Attainment Percentile Grade 2,NWEA Math Attainment Percentile Grade 3,NWEA Math Attainment Percentile Grade 4,NWEA Math Attainment Percentile Grade 5,NWEA Math Attainment Percentile Grade 6,NWEA Math Attainment Percentile Grade 7,NWEA Math Attainment Percentile Grade 8,EPAS Growth Percentile,EXPLORE Growth Percentile Grade 9,Plan Growth Percentile Grade 10,ACT Growth Percentile Grade 11,EPAS Attainment Percentile,EXPLORE Attainment Percentile Grade 9,PLAN Attainment Percentile Grade 10,Grade ACT Attainment Percentile Grade 11,EXPLORE Spring 2013 Average Grade 9,EXPLORE Spring 2013 Average Grade 10,EXPLORE Fall 2011 Average Grade 9,PLAN Fall 2012 Average Grade 10,ACT Spring 2013 Average Grade 11,Freshmen-on-Track Rate Percentage 2013,Freshmen-on-Track Rate Percentage 2012,4-Year Graduation Rate Percentage 2013,4-Year Graduation Rate Percentage 2012,5-Year Graduation Rate Percentage 2013,5-Year Graduation Rate Percentage 2012,College Enrollment Rate Percentage 2013,College Enrollment Rate Percentage 2012,College Persistence Rate Percentage 2013,College Persistence Rate Percentage 2012,Suspensions Per 100 2013,Suspensions Per 100 2012,Percentage of Misconducts Resulting in Suspension 2013,Percentage of Misconducts Resulting in Suspension 2012,Average Length of Suspensions 2013,Average Length of Suspensions 2012,Student Attendance Percentage 2013,Student Attendance Percentage 2012,Teacher Attendance Percentage 2013,Teacher Attendance Percentage 2012,Gr3-8 On-Track Percentage 2013,One-Year DropOut Rate Percentage 2013,One-Year DropOut Rate Percentage 2012,X Coordinate_y,Y Coordinate_y,Longitude_y,Latitude_y,Location_y
610340,Chgo Acad HS,Chicago Academy High School,3400 N Austin Ave,Chicago,IL,60634,http://www.chicagoacademy.org,AUSL Schools,North-Northwest Side High School Network,Standard,Level 1,No,0,Not Enough Data,,,,,Below Average,14.52,16.41,19.3,15.22,16.26,19.3,70.1,71.0,5.5,4.0,80.6,82.2,23.9,35.2,64.2,75.8,75.6,71.0,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Strong,14.5,4.5,1.9,2.6,93.1,93.6,96.1,95.6,No,,,1135740.091,1922002.941,-87.77650575,41.94215439,"(-87.77650575, 41.94215439)",Chicago Academy High School,3400 N Austin Ave,Chicago,IL,60634,(773) 534-0146,http://www.chicagoacademy.org,,LEVEL 2,NOT ON PROBATION,,WELL-ORGANIZED,88.2,100.0,NEUTRAL,STRONG,STRONG,STRONG,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,98.0,13.0,,40.0,52.0,36.0,34.0,16.8,16.4,14.7,16.3,18.0,86.6,82.2,69.5,62.1,74.8,71.0,80.0,74.2,73.0,71.0,14.9,15.2,8.9,4.5,2.2,2.6,92.7,93.6,95.9,95.6,,5.2,4.0,1135740.091,1922002.941,41.94215439,-87.77650575,"(-87.77650575, 41.94215439)"
400018,Austin Bus & Entrp HS,Austin Business and Entrepreneurship Academy HS,231 N Pine Ave,Chicago,IL,60644,http://www.austinbusinessacademy.net,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,4,Above Average,70.2,69.6,54.4,64.0,Far Below Average,12.06,13.04,14.1,11.95,13.27,14.1,65.6,54.4,13.8,6.9,,,12.2,,51.3,54.1,,47.7,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Neutral,73.2,28.3,3.6,2.5,76.0,73.0,,94.3,No,,,1139494.763,1901274.258,-87.76321191,41.88520477,"(-87.76321191, 41.88520477)",Austin Business and Entrepreneurship Academy HS,231 N Pine Ave,Chicago,IL,60644,(773) 534-6316,http://www.abeacademy.org/,,LEVEL 3,ON PROBATION,5.0,NOT YET ORGANIZED,76.3,95.0,VERY WEAK,WEAK,WEAK,WEAK,VERY WEAK,WEAK,STRONG,NEUTRAL,NEUTRAL,NOT CERTIFIED,EMERGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,17.0,1.0,16.0,5.0,5.0,8.0,5.0,12.8,13.8,12.4,13.3,13.7,88.5,80.6,46.5,57.1,61.5,54.4,51.7,55.4,54.2,45.7,189.9,239.3,16.5,28.3,2.9,2.5,78.4,73.0,95.0,94.3,,1.4,6.9,1139494.763,1901274.258,41.88520477,-87.76321191,"(-87.76321191, 41.88520477)"
610524,Alcott HS,Alcott High School for the Humanities,2957 N Hoyne Ave,Chicago,IL,60618,http://www.alcotths.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,No,0,Above Average,54.0,61.2,68.3,61.1,Below Average,15.49,16.28,18.0,14.5,15.81,18.0,,,4.8,1.8,87.6,82.6,,,,,,,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Strong,40.0,31.3,2.1,2.6,92.7,92.2,96.9,,No,,,1161870.556,1919857.44,-87.68052441,41.93576106,"(-87.68052441, 41.93576106)",Alcott High School for the Humanities,2957 N Hoyne Ave,Chicago,IL,60618,(773) 534-5979,http://www.alcottschool.net/index.php,,LEVEL 2,NOT ON PROBATION,,NOT YET ORGANIZED,59.0,68.2,WEAK,WEAK,WEAK,WEAK,VERY WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,EMERGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,59.0,20.0,79.0,23.0,24.0,27.0,22.0,14.8,15.8,14.3,15.8,16.9,87.1,82.6,80.8,,,,,,,,20.2,48.3,51.5,31.3,2.7,2.6,90.9,92.2,,,,1.1,1.8,1161870.556,1919857.44,41.93576106,-87.68052441,"(-87.68052441, 41.93576106)"
609678,Jones HS,William Jones College Preparatory High School,606 S State St,Chicago,IL,60605,http://www.jonescollegeprep.org,South Side High School Network,South Side High School Network,Standard,Level 1,No,0,Above Average,,,61.9,61.7,Far Above Average,19.69,21.13,25.1,20.8,22.06,25.1,90.1,87.1,1.6,1.5,92.8,98.0,83.3,80.7,86.9,92.2,91.0,90.8,Organized,Strong,Strong,Strong,Weak,Weak,Very Strong,24.7,10.6,6.0,4.5,93.8,93.9,95.3,95.3,No,Yes,2012.0,1176412.354,1897618.088,-87.62775497,41.87441898,"(-87.62775497, 41.87441898)",William Jones College Preparatory High School,700 S State St,Chicago,IL,60605,(773) 534-8600,http://www.jones.cps.k12.il.us,2012.0,LEVEL 1,NOT ON PROBATION,,ORGANIZED,84.4,76.4,STRONG,STRONG,VERY STRONG,NEUTRAL,WEAK,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,EXCELLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,95.0,13.0,89.0,98.0,98.0,98.0,97.0,21.8,23.0,20.5,22.1,26.3,98.6,98.0,89.3,91.0,91.4,87.1,88.5,87.8,93.5,92.2,0.3,3.6,12.5,10.6,5.3,4.5,93.4,93.9,95.1,95.3,,1.0,1.5,1176428.317,1897119.1,41.87304937,-87.62771142,"(-87.62771142, 41.87304937)"
609692,Simeon HS,Neal F Simeon Career Academy High School,8147 S Vincennes Ave,Chicago,IL,60620,http://www.simeonca.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,9,Average,47.7,56.2,73.0,58.7,Below Average,14.47,14.83,16.9,14.13,15.26,16.9,75.2,73.5,5.3,4.6,68.5,66.7,14.8,11.0,74.0,77.2,72.0,70.0,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,93.0,97.3,4.7,4.0,78.6,80.6,94.3,94.6,No,,,1174719.074,1850730.192,-87.63537,41.74579217,"(-87.63537, 41.74579217)",Neal F Simeon Career Academy High School,8147 S Vincennes Ave,Chicago,IL,60620,(773) 535-3200,http://www.simeonca.org,,LEVEL 2,ON PROBATION,10.0,ORGANIZED,51.5,64.0,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,DEVELOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,50.0,20.0,27.0,22.0,23.0,24.0,20.0,15.1,15.7,14.1,15.3,16.7,77.3,66.7,70.4,74.1,79.0,73.5,67.0,75.5,67.1,70.8,29.0,24.3,36.8,97.3,3.1,4.0,83.6,80.6,93.5,94.6,,2.9,4.6,1174719.074,1850730.192,41.74579217,-87.63537,"(-87.63537, 41.74579217)"
609759,Clemente HS,Roberto Clemente Community Academy High School,1147 N Western Ave,Chicago,IL,60622,http://www.rccachicago.org/,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,17,Below Average,46.6,44.2,,45.5,Far Below Average,12.59,13.38,15.0,13.46,14.24,15.0,49.5,52.0,7.5,1.3,58.9,92.6,12.5,13.5,41.5,43.1,64.7,51.4,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Neutral,41.3,77.2,2.8,5.0,69.6,78.7,94.2,95.5,No,,,1160235.206,1907768.877,-87.68686934,41.90262318,"(-87.68686934, 41.90262318)",Roberto Clemente Community Academy High School,1147 N Western Ave,Chicago,IL,60622,(773) 534-4000,http://www.clementehs.org/,,LEVEL 2,ON PROBATION,18.0,NOT YET ORGANIZED,90.7,92.4,NEUTRAL,NEUTRAL,WEAK,WEAK,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,STRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,68.0,5.0,73.0,12.0,22.0,11.0,10.0,14.7,14.0,12.2,14.2,15.0,89.0,92.6,63.4,53.6,56.3,52.0,40.4,37.9,51.3,51.0,101.7,57.5,43.0,77.2,2.7,5.0,81.2,78.7,94.2,95.5,,2.0,1.3,1160235.206,1907768.877,41.90262318,-87.68686934,"(-87.68686934, 41.90262318)"
609735,Tilden HS,Edward Tilden Career Community Academy HS,4747 S Union Ave,Chicago,IL,60609,http://www.tildencca.org/,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 3,Yes,9,Far Below Average,23.3,51.2,37.1,38.3,Far Below Average,12.22,13.02,13.5,11.58,13.3,13.5,41.1,33.9,8.0,12.6,86.5,58.6,10.5,8.2,37.0,30.2,50.0,54.7,Not Yet Organized,Weak,Neutral,Weak,Weak,Weak,Weak,56.8,38.7,5.4,4.2,78.4,71.2,95.2,94.1,No,,,1172475.474,1873203.826,-87.64292985,41.80751207,"(-87.64292985, 41.80751207)",Edward Tilden Career Community Academy HS,4747 S Union Ave,Chicago,IL,60609,(773) 535-1625,http://www.tilden.cps.k12.il.us,,LEVEL 2,ON PROBATION,10.0,MODERATELY ORGANIZED,79.0,81.6,WEAK,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,DEVELOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,24.0,5.0,34.0,7.0,5.0,10.0,8.0,12.9,14.0,12.0,13.3,14.6,69.8,58.6,53.3,48.4,54.5,33.9,33.6,28.9,50.0,56.5,140.5,70.8,38.9,38.7,2.4,4.2,75.5,71.2,95.4,94.1,,8.9,12.6,1172475.474,1873203.826,41.80751207,-87.64292985,"(-87.64292985, 41.80751207)"
609713,Hyde Park HS,Hyde Park Academy High School,6220 S Stony Island Ave,Chicago,IL,60637,http://www.hydeparkcps.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,9,Average,58.5,55.8,51.4,55.0,Below Average,13.02,14.04,16.0,12.69,14.19,16.0,51.1,53.3,9.4,13.9,63.7,60.5,11.1,12.9,57.6,65.1,69.5,70.9,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Weak,92.5,92.9,3.3,3.2,70.5,67.7,94.2,94.2,No,,,1187898.897,1864121.427,-87.58665115,41.78223539,"(-87.58665115, 41.78223539)",Hyde Park Academy High School,6220 S Stony Island Ave,Chicago,IL,60637,(773) 535-0880,http://www.cps.edu,,LEVEL 3,ON PROBATION,10.0,PARTIALLY ORGANIZED,49.5,57.7,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,68.0,1.0,3.0,10.0,12.0,15.0,9.0,14.0,14.7,12.8,14.2,14.9,75.1,60.5,46.4,48.3,53.0,53.3,58.0,63.4,63.8,71.7,157.9,108.0,62.1,92.9,2.8,3.2,72.2,67.7,92.9,94.2,,12.2,13.9,1187898.897,1864121.427,41.78223539,-87.58665115,"(-87.58665115, 41.78223539)"
609729,Schurz HS,Carl Schurz High School,3601 N Milwaukee Ave,Chicago,IL,60641,http://www.schurzhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,9,Below Average,31.6,52.6,59.9,46.3,Far Below Average,13.42,14.25,15.5,13.93,14.58,15.5,62.1,64.6,5.3,4.8,61.6,66.0,9.7,15.5,40.4,40.7,65.7,62.1,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,83.0,87.1,2.1,1.7,81.2,82.0,96.0,95.2,No,,,1146851.198,1923627.843,-87.73562542,41.94640794,"(-87.73562542, 41.94640794)",Carl Schurz High School,3601 N Milwaukee Ave,Chicago,IL,60641,(773) 534-3420,http://www.schurzhs.org/,,LEVEL 3,ON PROBATION,10.0,NOT YET ORGANIZED,52.2,69.5,WEAK,NEUTRAL,NEUTRAL,WEAK,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,STRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,59.0,13.0,42.0,15.0,16.0,18.0,12.0,14.1,14.9,13.2,14.6,15.4,63.6,66.0,62.1,64.0,69.8,64.6,47.3,40.9,62.7,62.6,33.8,64.1,54.8,87.1,2.3,1.7,82.0,82.0,95.1,95.2,,2.6,4.8,1146851.198,1923627.843,41.94640794,-87.73562542,"(-87.73562542, 41.94640794)"
609715,Kelly HS,Thomas Kelly High School,4136 S California Ave,Chicago,IL,60632,http://www.kellyhs.org,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 3,Yes,1,Above Average,56.8,66.6,62.7,62.3,Below Average,13.41,14.58,16.8,13.63,15.4,16.8,67.4,73.9,0.9,5.5,65.6,63.5,22.1,23.5,46.4,54.9,78.5,71.0,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,55.7,55.5,4.3,3.8,89.3,88.5,95.3,95.0,No,,,1158337.786,1877175.576,-87.69467483,41.81871101,"(-87.69467483, 41.81871101)",Thomas Kelly High School,4136 S California Ave,Chicago,IL,60632,(773) 535-4900,http://www.kelly.cps.k12.il.us,,LEVEL 2,NOT ON PROBATION,,MODERATELY ORGANIZED,62.4,38.3,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,EXCELLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,76.0,50.0,58.0,26.0,31.0,23.0,26.0,15.1,15.3,13.4,15.4,16.9,74.4,63.5,61.9,68.2,78.0,73.9,50.4,53.6,68.8,74.4,8.9,13.1,61.8,55.5,3.1,3.8,91.0,88.5,94.9,95.0,,0.2,5.5,1158337.786,1877175.576,41.81871101,-87.69467483,"(-87.69467483, 41.81871101)"
