,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Community Area,Year,Updated On,Latitude,Longitude,Location,Zip Codes,zip_code
0,8504744,HV181346,03/03/2012 05:00:00 AM,054XX S CENTRAL AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,True,False,56,2012,09/21/2023 03:41:03 PM,41.794051584,-87.762347332,"(41.794051584, -87.762347332)",22268.0,60459
1,8504899,HV181473,03/03/2012 10:20:00 AM,053XX S MAYFIELD AVE,BURGLARY,HOME INVASION,RESIDENCE,True,False,56,2012,09/21/2023 03:41:03 PM,41.795866297,-87.769720805,"(41.795866297, -87.769720805)",22268.0,60638
2,8525486,HV203006,03/18/2012 05:00:00 AM,048XX S ARCHER AVE,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,57,2012,09/26/2023 03:44:16 PM,41.804412596,-87.720013632,"(41.804412596, -87.720013632)",22248.0,60632
3,12265682,JE108372,05/18/2012 10:18:00 PM,040XX N TROY ST,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,16,2012,02/13/2021 03:39:21 PM,41.95490183,-87.706823184,"(41.95490183, -87.706823184)",21538.0,60625
4,13235167,JG453368,12/24/2012 12:00:00 AM,053XX S DREXEL AVE,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,41,2012,11/30/2023 03:40:45 PM,41.798088927,-87.603890577,"(41.798088927, -87.603890577)",21192.0,60615
5,8656645,HV332108,06/13/2012 12:55:00 AM,022XX W HIRSCH ST,ROBBERY,ARMED - HANDGUN,STREET,True,False,24,2012,11/01/2023 03:40:30 PM,41.906718091,-87.683981736,"(41.906718091, -87.683981736)",21560.0,60622
6,11457942,JB450095,12/01/2012 12:00:00 AM,121XX S INDIANA AVE,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,53,2012,10/12/2023 03:41:47 PM,41.673869466,-87.617692404,"(41.673869466, -87.617692404)",21861.0,60628
7,8862654,HV536027,10/26/2012 07:00:00 PM,004XX E 76TH ST,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,69,2012,10/27/2023 03:40:39 PM,41.756595755,-87.614417487,"(41.756595755, -87.614417487)",21546.0,60619
8,8455665,HV132604,01/26/2012 07:00:00 AM,008XX S WELLS ST,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,True,32,2012,10/29/2023 03:41:41 PM,41.87178962,-87.633564301,"(41.87178962, -87.633564301)",14917.0,60607
9,8632346,HV306465,05/27/2012 10:55:00 PM,011XX E 43RD ST,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,36,2012,12/09/2023 03:41:24 PM,41.816924504,-87.597260713,"(41.816924504, -87.597260713)",4301.0,60653
10,13297543,JG528777,01/31/2012 11:00:00 PM,060XX W WAVELAND AVE,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,17,2012,01/14/2024 03:40:41 PM,41.947575666,-87.777903567,"(41.947575666, -87.777903567)",22254.0,60634
11,12643605,JF175299,08/01/2012 12:01:00 AM,069XX S WOLCOTT AVE,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,67,2012,01/02/2024 03:41:08 PM,41.767494193,-87.671172189,"(41.767494193, -87.671172189)",22257.0,60636
12,8690364,HV365831,07/04/2012 04:25:00 AM,100XX S VERNON AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,False,False,49,2012,01/23/2024 03:40:54 PM,41.712272495,-87.612681122,"(41.712272495, -87.612681122)",21861.0,60628
13,13091730,JG282428,06/19/2012 12:00:00 AM,043XX W 25TH PL,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,30,2012,01/26/2024 03:40:42 PM,41.845063497,-87.731942368,"(41.845063497, -87.731942368)",21569.0,60623
14,8599369,HV273346,05/05/2012 10:03:00 PM,046XX S EVANS AVE,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,38,2012,03/11/2024 03:47:03 PM,41.810509719,-87.607821275,"(41.810509719, -87.607821275)",4301.0,60653
15,8861037,HV534467,10/25/2012 05:26:00 PM,108XX S EGGLESTON AVE,BATTERY,AGGRAVATED - HANDGUN,STREET,True,False,49,2012,03/16/2024 03:40:18 PM,41.697464683,-87.634095174,"(41.697464683, -87.634095174)",21861.0,60628
16,8629929,HV302517,05/25/2012 06:55:00 AM,023XX E 100TH ST,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,True,True,51,2012,04/17/2024 03:40:22 PM,41.713486243,-87.567401694,"(41.713486243, -87.567401694)",21202.0,60617
17,8637695,HV311997,05/30/2012 08:15:00 AM,037XX W OGDEN AVE,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,29,2012,03/20/2024 03:40:23 PM,41.853127184,-87.719174068,"(41.853127184, -87.719174068)",21569.0,60623
18,8826569,HV499445,09/29/2012 07:00:00 PM,054XX W IRVING PARK RD,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,15,2012,04/02/2024 03:40:38 PM,41.953232482,-87.762991202,"(41.953232482, -87.762991202)",22618.0,60630
19,8613518,HV286970,05/14/2012 10:00:00 PM,0000X W 95TH ST,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,CTA BUS STOP,False,False,49,2012,04/06/2024 03:40:12 PM,41.721627204,-87.624485177,"(41.721627204, -87.624485177)",21861.0,60619
20,8582504,HV256909,04/24/2012 11:05:00 PM,027XX W GRANVILLE AVE,ROBBERY,ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT,TAXICAB,False,False,2,2012,04/20/2024 03:40:43 PM,41.993987043,-87.698744305,"(41.993987043, -87.698744305)",4450.0,60659
21,8922386,HV594553,12/08/2012 12:19:00 PM,039XX W FULLERTON AVE,THEFT,ATTEMPT THEFT,GAS STATION,True,False,22,2012,05/03/2024 03:40:47 PM,41.924492457,-87.726107642,"(41.924492457, -87.726107642)",22535.0,60647
22,8620796,HV294667,05/20/2012 04:00:00 AM,016XX W 78TH ST,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,71,2012,06/06/2024 03:41:10 PM,41.752167383,-87.664088112,"(41.752167383, -87.664088112)",21554.0,60620
23,8620588,HV294302,05/19/2012 10:02:00 PM,005XX E 51ST ST,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,38,2012,07/03/2024 03:41:55 PM,41.802155737,-87.612114961,"(41.802155737, -87.612114961)",21192.0,60615
24,8740534,HV416412,08/05/2012 02:17:00 AM,028XX W ARMITAGE AVE,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,22,2012,07/12/2024 03:41:26 PM,41.917476163,-87.698830494,"(41.917476163, -87.698830494)",22535.0,60647
25,8879256,HV551903,11/07/2012 10:53:00 AM,019XX N DAMEN AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,True,False,22,2012,07/14/2024 03:40:54 PM,41.916687258,-87.677594148,"(41.916687258, -87.677594148)",21560.0,60622
26,8606433,HV279999,01/10/2012 05:00:00 PM,009XX W 71ST ST,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,68,2012,07/17/2024 03:41:27 PM,41.765138947,-87.648591105,"(41.765138947, -87.648591105)",21559.0,60621
27,8790652,HV463089,09/05/2012 10:45:00 PM,075XX S DANTE AVE,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,43,2012,08/19/2024 03:40:35 PM,41.758037494,-87.589566563,"(41.758037494, -87.589566563)",21546.0,60619
28,13569415,JH394761,01/01/2012 12:01:00 AM,050XX W ALTGELD ST,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,True,19,2012,10/25/2024 03:42:26 PM,41.926012775,-87.752635786,"(41.926012775, -87.752635786)",22615.0,60639
29,8696637,HV373148,07/08/2012 06:00:00 AM,032XX W WALNUT ST,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,27,2012,09/08/2024 03:40:57 PM,41.885370382,-87.708164,"(41.885370382, -87.708164)",21572.0,60624
30,8899821,HV573808,11/23/2012 02:00:00 PM,071XX S SANGAMON ST,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,True,68,2012,09/10/2024 03:41:15 PM,41.764433085,-87.648034125,"(41.764433085, -87.648034125)",21559.0,60621
31,8540821,HV214611,03/25/2012 06:00:00 PM,020XX E 79TH ST,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,43,2012,09/21/2024 03:40:19 PM,41.751626587,-87.574424532,"(41.751626587, -87.574424532)",22538.0,60617
32,8521058,HV197992,03/14/2012 09:30:00 PM,070XX S BENNETT AVE,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,OTHER (SPECIFY),False,False,43,2012,09/24/2024 03:41:16 PM,41.766537518,-87.57876851,"(41.766537518, -87.57876851)",22538.0,60649
33,12270150,JE112964,01/01/2012 01:01:00 PM,060XX W MIAMI AVE,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,10,2012,02/10/2021 03:39:26 PM,41.991497851,-87.778702673,"(41.991497851, -87.778702673)",22532.0,60646
34,12240139,JD452623,09/10/2012 12:00:00 AM,030XX S DRAKE AVE,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,OTHER (SPECIFY),False,False,30,2012,07/02/2021 03:39:57 PM,41.837994453,-87.713395906,"(41.837994453, -87.713395906)",21569.0,60623
35,12536693,JE440027,01/11/2012 12:01:00 AM,018XX W 47TH ST,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,61,2012,11/17/2021 03:40:16 PM,41.808552607,-87.670412081,"(41.808552607, -87.670412081)",14924.0,60609
36,8886022,HV560646,11/12/2012 05:30:00 PM,038XX W 31ST ST,ASSAULT,SIMPLE,RESIDENCE,False,True,30,2012,09/07/2021 03:41:02 PM,41.836954705,-87.72010301,"(41.836954705, -87.72010301)",21569.0,60623
37,8892042,HV566060,11/17/2012 01:20:00 PM,016XX N HARLEM AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,25,2012,02/10/2018 03:50:01 PM,41.909307068,-87.80576669,"(41.909307068, -87.80576669)",4454.0,60707
38,12536692,JE440038,01/11/2012 12:01:00 AM,018XX W 47TH ST,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,61,2012,11/17/2021 03:40:16 PM,41.808552607,-87.670412081,"(41.808552607, -87.670412081)",14924.0,60609
39,12774670,JF332317,01/11/2012 07:00:00 AM,0000X N HAMLIN BLVD,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,26,2012,10/19/2022 03:40:25 PM,41.881088655,-87.720764494,"(41.881088655, -87.720764494)",21572.0,60624
